replication,monitoring_dates,ncv_epoch,trajectory_id,training_seed,validation_seed,pilot_seed,pricing_seed,mc_price,mc_observation_variance,mc_standard_error,gcv_price,gcv_observation_variance,gcv_estimator_variance,gcv_standard_error,ncv_price,ncv_observation_variance,ncv_estimator_variance,ncv_standard_error,gcv_vrr_vs_mc,ncv_vrr_vs_mc,ncv_to_gcv_advantage,ncv_beats_gcv,gcv_reporting_observations,required_ncv_observations_to_match_gcv_reporting_n,required_ncv_observations_reason,optimizer_cumulative_training_runtime_s,training_data_generation_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,mc_marginal_pricing_runtime_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason,break_even_verified_q,break_even_verified_q_minus_1,break_even_q_minus_1_verification_status
0,12,25,rep0_m12,1042,2042,3042,4042,6.165133627081949,72.69986387635967,0.0381313162312448,6.153640321356319,0.055973954719070865,1.1194790943814173e-06,0.0010580543910316792,6.154994276136369,0.12584018209648395,2.516803641929679e-06,0.0015864437090327783,1298.8159268223035,577.7158191063278,0.4448019208693978,False,50000,112410,,0.27636368200001016,8.219999472203199e-07,0.2763645039999574,0.0003412720002415881,0.01968301099987002,0.026749232999918604,0.027169392999894626,0.051950075999684486,0.061082229342363105,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,12,1000,rep0_m12,1042,2042,3042,4042,6.165133627081949,72.69986387635967,0.0381313162312448,6.153640321356319,0.055973954719070865,1.1194790943814173e-06,0.0010580543910316792,6.156047662607385,0.002557179820881505,5.11435964176301e-08,0.00022614950014897248,1298.8159268223035,28429.70341104082,21.8889396287257,True,50000,2285,,10.886633670000265,8.219999472203199e-07,10.886634492000212,0.0003412720002415881,0.01958934300000692,0.026630900999862206,0.0234702190000462,0.0014682510000056936,0.0010725890083021113,433,,True,True,verified_against_q_minus_1
0,252,25,rep0_m252,1042,2042,3042,4042,5.768708239722802,64.15232740551319,0.03581963913986661,5.7814759308235395,0.048397448305097526,9.679489661019506e-07,0.0009838439744705206,5.7799122934842915,0.2411800376984708,4.823600753969416e-06,0.00219626973615934,1325.5311933202945,265.993520930277,0.20066937863906134,False,50000,249167,,0.39886755900033677,1.0019998626376037e-06,0.3988685610001994,0.0001577869998072856,0.34355803099970217,0.3936781859997609,0.34081997499970385,NA,1.6984218142150243,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
0,252,1000,rep0_m252,1042,2042,3042,4042,5.768708239722802,64.15232740551319,0.03581963913986661,5.7814759308235395,0.048397448305097526,9.679489661019506e-07,0.0009838439744705206,5.779589317020157,0.26806449621497985,5.361289924299597e-06,0.0023154459450178484,1325.5311933202945,239.31676261247557,0.1805440443940185,False,50000,276941,,15.189648509000108,1.0019998626376037e-06,15.18964951099997,0.0001577869998072856,0.3433558719998473,0.3947568139997202,0.33880900400026803,NA,1.8766020875367646,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,12,25,rep1_m12,101042,102042,103042,104042,6.1970022137566705,72.47376379906852,0.03807197494196184,6.155786947137971,0.055616125569477544,1.1123225113895508e-06,0.0010546670144598014,6.156289420207358,0.13643002227275927,2.7286004454551856e-06,0.001651847585419183,1303.1070225942267,531.2156561418317,0.40765312973625684,False,50000,122654,,0.27760349099980886,7.009998626017477e-07,0.27760419199967146,0.00013059599996267934,0.01985174699984782,0.02665662799972779,0.026342747999933636,0.05406187399967166,0.0646208682636772,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,12,1000,rep1_m12,101042,102042,103042,104042,6.1970022137566705,72.47376379906852,0.03807197494196184,6.155786947137971,0.055616125569477544,1.1123225113895508e-06,0.0010546670144598014,6.156104781748492,0.0027232279323126064,5.446455864625213e-08,0.00023337643121414838,1303.1070225942267,26613.183178362415,20.42286835764331,True,50000,2449,,10.91483252099988,7.009998626017477e-07,10.914833221999743,0.00013059599996267934,0.019641672000034305,0.026677817999825493,0.02447594900013428,0.001392497999859188,0.001198831982026577,432,,True,True,verified_against_q_minus_1
1,252,25,rep1_m252,101042,102042,103042,104042,5.805043493595184,64.19050121500155,0.03583029478388408,5.779882185111437,0.0465765418392999,9.31530836785998e-07,0.0009651584516471883,5.781104534912962,0.28443153044927716,5.688630608985543e-06,0.0023850850318144936,1378.1723305365601,225.67997687741823,0.16375308941919828,False,50000,305338,,0.39847653100014213,8.010001693037339e-07,0.39847733200031143,0.00012799999967683107,0.34356283099987195,0.3930909780001457,0.3382251580001139,NA,2.0654598658687755,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
1,252,1000,rep1_m252,101042,102042,103042,104042,5.805043493595184,64.19050121500155,0.03583029478388408,5.779882185111437,0.0465765418392999,9.31530836785998e-07,0.0009651584516471883,5.781689805275083,0.34621994128112404,6.924398825622481e-06,0.0026314252460639047,1378.1723305365601,185.40382445181018,0.13452876708069403,False,50000,371668,,15.286923977000242,8.010001693037339e-07,15.286924778000412,0.00012799999967683107,0.3432402139997066,0.3923553859999629,0.34000010399995517,NA,2.5273431730691067,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
2,12,25,rep2_m12,201042,202042,203042,204042,6.0911276629763815,71.00843562774227,0.03768512587951439,6.155912819495816,0.055635772765876015,1.1127154553175203e-06,0.0010548532861576155,6.154454423970488,0.1187253810356723,2.374507620713446e-06,0.0015409437435264942,1276.3089662932662,598.0897682392532,0.4686089215343066,False,50000,106699,,0.27379483400000026,6.909999683557544e-07,0.2737955249999686,0.00013433200001600198,0.019841698000163888,0.0266887279999537,0.024446666999665467,0.04903516000013042,0.05216869844394612,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
2,12,1000,rep2_m12,201042,202042,203042,204042,6.0911276629763815,71.00843562774227,0.03768512587951439,6.155912819495816,0.055635772765876015,1.1127154553175203e-06,0.0010548532861576155,6.155562292127667,0.0030414385302025403,6.082877060405081e-08,0.0002466348933221956,1276.3089662932662,23346.99022275277,18.292584976942155,True,50000,2734,,10.92684657000018,6.909999683557544e-07,10.926847261000148,0.00013433200001600198,0.01980233299991596,0.026655696000034368,0.02342789400017864,0.0015210369997475937,0.001281037243929768,435,,True,True,verified_against_q_minus_1
2,252,25,rep2_m252,201042,202042,203042,204042,5.799595061650872,64.14633661016867,0.03581796661179098,5.781404768895423,0.04929474443207923,9.858948886415845e-07,0.0009929223980964395,5.7777479530981894,0.2809011033711068,5.618022067422136e-06,0.0023702367112636946,1301.2814519923663,228.35914790061554,0.1754878989099394,False,50000,284920,,0.3959467460003907,9.219997991749551e-07,0.3959476680001899,0.00013141699992047506,0.34315368399984436,0.39514495800040095,0.3382691439996961,NA,1.9275928901678683,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
2,252,1000,rep2_m252,201042,202042,203042,204042,5.799595061650872,64.14633661016867,0.03581796661179098,5.781404768895423,0.04929474443207923,9.858948886415845e-07,0.0009929223980964395,5.781927710423813,0.3418858740013166,6.837717480026332e-06,0.0026149029580514707,1301.2814519923663,187.62499853948822,0.14418479434423603,False,50000,346778,,15.264558970000053,9.219997991749551e-07,15.264559891999852,0.00013141699992047506,0.34207788300000175,0.3933527089998279,0.33844633599983354,NA,2.3473148701070055,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
3,12,25,rep3_m12,301042,302042,303042,304042,6.190248872159787,72.8965520811882,0.03818286319311013,6.157929268855506,0.059445988703710914,1.1889197740742182e-06,0.001090375978309417,6.158392427615475,0.13818304248595004,2.7636608497190006e-06,0.0016624261937659068,1226.2652816578966,527.5361634087632,0.43019742244968423,False,50000,116226,,0.2725801460001094,1.0520002433622722e-06,0.27258119800035274,0.00013374099989960087,0.01956481300021551,0.026597200999731285,0.026303017999907752,0.05139324699985082,0.06114189140114557,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
3,12,1000,rep3_m12,301042,302042,303042,304042,6.190248872159787,72.8965520811882,0.03818286319311013,6.157929268855506,0.059445988703710914,1.1889197740742182e-06,0.001090375978309417,6.156346767900228,0.003710534699715401,7.421069399430802e-08,0.0002724163981743904,1226.2652816578966,19645.834894571766,16.02086855791173,True,50000,3121,,10.802426058000037,1.0520002433622722e-06,10.80242711000028,0.00013374099989960087,0.01965604399993026,0.0266919189998589,0.024423496000054,0.0016964490000646038,0.0015245146203233708,433,,True,True,verified_against_q_minus_1
3,252,25,rep3_m252,301042,302042,303042,304042,5.75042490609543,64.32134944614967,0.03586679507459502,5.781730424203261,0.04891452302627744,9.782904605255487e-07,0.000989085668951658,5.784253233149415,0.30046774979315843,6.009354995863169e-06,0.0024513985795588545,1314.9744792890142,214.07072636057745,0.16279458630734955,False,50000,307136,,0.39551875300003303,8.920001164369751e-07,0.39551964500014947,0.00012881100019512814,0.3429885979999199,0.39372087499987174,0.34033438899996327,NA,2.0905788579978544,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
3,252,1000,rep3_m252,301042,302042,303042,304042,5.75042490609543,64.32134944614967,0.03586679507459502,5.781730424203261,0.04891452302627744,9.782904605255487e-07,0.000989085668951658,5.7803356311406455,0.2878543731356669,5.757087462713338e-06,0.00239939314467499,1314.9744792890142,223.45100665132074,0.16992801774536123,False,50000,294243,,15.179819638000026,8.920001164369751e-07,15.179820530000143,0.00012881100019512814,0.346288880999964,0.39588269799969567,0.3407445700004246,NA,2.0052340902126984,NA,proposed_marginal_not_below_baseline_no_finite_break_even,False,False,
